frase,situacao
Sinus rhythm,baixo risco
Sinus tachycardia,baixo risco
Sinus rhythm with PAC(s).,baixo risco
Sinus bradycardia,baixo risco
Sinus bradycardia with interpolated PVC(s),baixo risco
Sinus bradycardia.,baixo risco
*** CONSIDER ACUTE ST ELEVATION MI ***,alto risco
SINUS RHYTHM,baixo risco
Sinus bradycardia with sinus arrhythmia,baixo risco
Sinus rhythm with PAC(s),baixo risco
Sinus arrhythmia,baixo risco
Sinus bradycardia with borderline 1st degree A-V block,baixo risco
Sinus rhythm with PACs.,baixo risco
Sinus bradycardia with PVC(s),baixo risco
Sinus bradycardia with PAC(s).,baixo risco
Sinus tachycardia with PAC(s).,baixo risco
Sinus bradycardia with PACs,baixo risco
Probable ventricular tachycardia,alto risco
Sinus rhythm with PACs,baixo risco
Sinus arrhythmia.,baixo risco
Accelerated idioventricular rhythm,alto risco
Junctional rhythm,baixo risco
Accelerated junctional rhythm,baixo risco
Sinus arrhythmia with PVCs.,baixo risco
Sinus tachycardia.,baixo risco
Sinus tachycardia with sinus arrhythmia,baixo risco
Sinus tachycardia with PACs.,baixo risco
Sinus tachycardia with sinus arrhythmia with multifocal PVCs.,baixo risco
Sinus bradycardia with sinus arrhythmia with PVC(s),baixo risco
Sinus rhythm with 1st degree A-V block,baixo risco
Sinus arrhythmia with borderline 1st degree A-V block,baixo risco
SINUS BRADYCARDIA,baixo risco
Probable accelerated junctional rhythm.,baixo risco
Probable accelerated junctional rhythm,baixo risco
Irregular sinus bradycardia,baixo risco
Sinus bradycardia with 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with 1st degree A-V block.,baixo risco
Sinus bradycardia with PAC(s) with 1st degree A-V block,baixo risco
Sinus bradycardia with PAC(s) with borderline 1st degree A-V block.,baixo risco
Sinus bradycardia with sinus arrhythmia with borderline 1st degree A-V block,baixo risco
Sinus bradycardia with sinus arrhythmia with PACs with borderline 1st degree A-V block,baixo risco
Probable sinus tachycardia,baixo risco
Marked sinus bradycardia,baixo risco
Sinus tachycardia with frequent PACs,baixo risco
Slow sinus arrhythmia,baixo risco
Sinus bradycardia with borderline 1st degree A-V block.,baixo risco
Sinus rhythm with 1st degree A-V block.,baixo risco
Sinus bradycardia with PAC(s),baixo risco
Sinus tachycardia with PACs,baixo risco
SINUS TACHYCARDIA,baixo risco
Sinus rhythm with PAC(s) with borderline 1st degree A-V block,baixo risco
Sinus tachycardia with PAC(s),baixo risco
Probable supraventricular tachycardia.,alto risco
