frase,situacao
"O uso preferencial da enoxaparina versus HNF é sugerido por dados de revisão sistemática dos ensaios randomizados em todo o espectro das SCA, sendo demonstrado que a enoxaparina é mais eficaz que a HNF em prevenir o desfecho combinado de morte por qualquer causa ou sangramento grave em pacientes com SCASSST submetidos à ICP.191-193 Fondaparinux é uma opção segura conforme proposta inicial de tratamento não invasivo, e, se posteriormente indicado cateterismo, está recomendado o uso de HNF durante o procedimento pelo risco de trombose de cateter.194,195 Paciente em uso prévio de anticoagulantes orais de ação direta, em vigência de SCA, deve ser manejado com cautela visando não incrementar o risco hemorrágico.",alto risco
"Quadro 3.3 – Recomendações para seleção da energia do desfibrilador/ cardioversor Recomendações Classe de Recomendação Nível de Evidência Realizar desfibrilação com a dose máxima recomendada pelo fabricante (120 a 200 J bifásica ou 360 J monofásica) I B Sempre realizar um ciclo de RCP (2 minutos) após cada procedimento de desfibrilação I B Sempre utilizar sedativos antes da CVE I C Sempre acionar o sincronismo antes da realização da CVE I B Utilizar energia máxima (200 J no desfibrilador bifásico se a dose inicial recomendada pelo fabricante for desconhecida e 360 J no desfibrilador monofásico) durante o procedimento de desfibrilação IIa C Utilizar a sequência de energia de 100 J, 200 J, 300 J e 360 J durante a CVE, utilizando-se do cardioversor monofásico IIa B O nível de energia não está padronizado para os cardioversores bifásicos, devendo-se utilizar níveis de energia inferiores (geralmente a metade) daqueles padronizados para o desfibrilador monofásico IIa C Realizar choques sucessivos se o paciente mantém o mesmo ritmo após a tentativa de CVE inicial IIb C A intubação orotraqueal é obrigatória antes da realização da desfibrilação ou CVE III C RCP: ressuscitação cardiopulmonar;",alto risco
"Relato de Caso Uma Forma Complicada de Infarto de “Um Segmento” Miocárdico: O Papel da Imagem Cardiovascular A Complicated “One Segment” Myocardial Infarction: The Role of Cardiovascular Imaging Ana Rita Pereira,1 Ana Rita Almeida,1 Inês Cruz,1 Luis Rocha Lopes,2,3,4 Maria José Loureiro,1 Hélder Pereira1,4 Serviço de Cardiologia, Hospital Garcia de Orta EPE,1 Almada - Portugal Barts Heart Centre, Barts Health NHS Trust,2 Londres - Inglaterra Institute of Cardiovascular Science, University College London,3 Londres - Inglaterra Centro Cardiovascular, Centro Académico de Medicina de Lisboa, Universidade de Lisboa,4 Lisboa - Portugal Introdução A incidência de complicações mecânicas (CM) após o infarto do miocárdio (IM) foi reduzida para menos de 1% com o uso rotineiro de terapias de reperfusão primária.1 As CM são classificadas como precoces, incluindo as formas agudas e subagudas, e tardias ou crónicas.2 As primeiras apresentam-se principalmente como choque cardiogênico2 e as últimas podem variar de assintomáticas a apresentação com morte súbita.3 Como todas essas condições podem ter consequências potencialmente letais, são necessários diagnóstico e tratamento oportunos.1-3 Relato de Caso Uma mulher de 57 anos de idade e fumante foi admitida no Serviço de Emergência com dor no peito anterior opressiva, náusea e vômito.",alto risco
"Por outro lado, hipertensão, diabetes, hiperlipidemia e tabagismo, fatores de risco para doença coronariana, não foram diretamente associados à cardiotoxicidade.8 Nas Diretrizes ESC 2022 para o manejo de pacientes com arritmias ventriculares e prevenção de morte súbita cardíaca, a indicação do CDI para sobreviventes de parada cardíaca por FV definida sem causa reversível é classificada como classe Ia.9 Os médicos hesitam em implantar um CDI em pacientes que apresentam morte súbita cardíaca porque consideram o risco de recorrência da morte súbita cardíaca após a alta, mesmo que haja uma causa secundária clara, e para evitar responsabilidade legal.",alto risco
"Já pacientes com FA de etiologia valvar (estenose mitral grave ou prótese valvar mecânica) ou evento embólico prévio apresentam risco Tabela 10 – Indicações para o uso de antídotos em pacientes em uso de anticoagulantes de ação direta (ACOD) Sangramento com risco de morte: sistema nervoso central, hemorragia incontrolável Sangramento em cavidade ou órgão críticos: intraespinal, intraocular, pericárdico, retroperitoneal, intramuscular com síndrome compartimental Sangramento maior apesar de medidas de hemostasia local ou risco de sangramento recorrente Cirurgia ou intervenção de emergência em pacientes com alto risco de sangramento: neurocirurgia, punção lombar, cirurgia cardíaca, vascular e hepática Tabela 11 – Antídotos utilizados para os anticoagulantes de ação direta (ACOD) Antídoto Alvo Descrição Estudo principal Critério de inclusão Resultados principais Idarucizumabe Dabigatrana Fragmento de anticorpo monoclonal RE-VERSE AD165 Hemorragia incontrolável (GI ou SNC) Cirurgia urgente Sangramento cessou em média 2,5 h Reversão completa da dabigatrana em 97,5% dos pacientes Andexanete Inibidor direto do fator Xa Molécula recombinante derivada do fator Xa humano ANNEXA-4171 Sangramento maior (trato GI e SNC, 18 h após ACOD) Hemostasia efetiva em 12 h em 82% dos pacientes Redução de 92% da atividade da apixabana e rivaroxabana Ciraparantag* Inibidor direto do fator Xa Molécula sintética, reverte inibidores diretos orais do fator Xa Ansell et al.167 Medicamento em investigação Reversão total da ação anticoagulante em até 30 min *Não provado para uso na prática clínica.",alto risco
"INFARTO AGUDO DO MIOCÁRDIO ADMINISTRAÇÃO ACELERADA (até 6 horas após o início dos sintomas) Em pacientes com peso corpóreo ≥65 kg DOSE TOTAL: 100 mg em 90 min ACTILYSE PROFISSIONAL abcd ACTILYSE_Bula Profissional 20120904/ I13-00 9 1-2 minutos 15 mg Retirar 15 ml (15 mg) da solução de ACTILYSE do primeiro frasco de 50 mg, utilizando seringa estéril.",alto risco
"Discussão As manifestações clínicas típicas da infecção aguda por CHIKV são febre, dor de cabeça, poliartralgia/poliartrite, mialgia, erupção cutânea e fadiga.11 Manifestações atípicas também têm sido descritas afetando os sistemas cardiovascular, nervoso, ocular, cutâneo e outros.6,12-14 O espectro clínico da doença cardíaca causada pelo vírus Chikungunya varia de alterações eletrocardiográficas assintomáticas a complicações cardíacas potencialmente letais.6 As manifestações da infecção aguda pelo DENV são muito semelhantes às da CHIKV, com menor prevalência de manifestações articulares.15 O envolvimento do coração na infecção por DENV não é incomum.",alto risco
"Após, é discutido o papel dos miRNAs como biomarcadores circulantes e então o seu papel no remodelamento cardíaco e na aterosclerose.",baixo risco
"Diretriz Brasileira de Fibrilação Atrial - 2025 Quadro 5 – Recomendações para prevenção de fenômenos tromboembólicos na fibrilação atrial (FA) não valvar Recomendação para prevenção de fenômenos tromboembólicos na fibrilação atrial não valvar Classe de recomendação Nivel de evidência O escore CHA2DS2-VA deve ser empregado em todos os pacientes I A Em pacientes com escore CHA2DS2-VA ≥ 2, é recomendada a terapia antitrombótica I A Pacientes de baixo risco, com CHA2DS2-VA = 0, não têm indicação para terapia antitrombótica I A Em pacientes com escore CHA2DS2-VA = 1, a terapia antitrombótica pode ser instituída, levando-se em consideração o benefício clínico, o risco de sangramento, a forma de apresentação da FA e a preferência do paciente IIa B Anticoagulação oral é recomendada para todos os pacientes com FA e miocardipatia hipertrófica, amiloidose cardíaca e hipertireoidismo a despeito do escore CHA2DS2-VA, para a prevenção dos eventos embólicos I B A reavaliação periódica do risco tromboembólico e de sangramento é recomendada nos pacientes com FA I B Para avaliação do risco de sangramento, o escore HAS-BLED pode ser considerado para auxiliar na identificação dos fatores modificáveis em pacientes de alto risco IIa B Em pacientes elegíveis a terapia antitrombótica, os ACOD são preferíveis aos AVK, exceto em pacientes com válvula cardíaca mecânica ou estenose mitral moderada a grave I A Para pacientes em uso de AVK, o RNI deve ter como alvo 2,0-3,0 e deve permanecer mais que 70% do tempo em faixa terapêutica I B Terapia com antiagregantes plaquetários isolados ou em combinação não é recomendada para prevenção de fenômenos tromboembólicos em pacientes com FA III A A estimativa do risco de sangramento, na ausência de contraindicações absolutas, não deve guiar a decisão da terapia antitrombótica III A A anticoagulação oral em pacientes com FA subclínica pode ser considerada com edoxabana ou apixabina, levando-se em consideração risco, benefício e preferência do paciente IIa B AVK: antagonistas da vitamina K;",alto risco
"O uso do ACOD é uma contraindicação relativa à trombólise, devendo esses pacientes ser triados preferencialmente à estratégia de angioplastia primária.198 A via de acesso radial deve ser priorizada dado o menor risco de sangramento, assim como deve-se evitar o uso de inibidores da P2Y12 mais potentes, como prasugrel e ticagrelor.198,199 Pacientes com SCA com supradesnível do segmento ST, assim como SCA sem supradesnível do segmento ST de alto risco, devem receber dose adicional de anticoagulante parenteral (por exemplo, heparina não fracionada 60 UI/kg ou enoxaparina 0,5 mg/kg), independentemente da última dose do ACO.200 Em casos de SCA sem supradesnível do segmento ST e sem critérios para intervenção coronária percutânea de emergência, recomenda-se a suspensão do ACOD (até RNI < 2 se uso de varfarina, por 24 h se ACOD e TFG > 30 mL/ min e por 36 h se ACOD e TFG < 30 mL/min) associada à anticoagulação parenteral até o momento do procedimento.201 As recomendações para o uso de anticoagulantes na fase aguda da SCA estão no Quadro 9.",alto risco
