frase,situacao
Sinus rhythm,baixo risco
*** CONSIDER ACUTE ST ELEVATION MI ***,alto risco
SINUS RHYTHM,baixo risco
Probable ventricular tachycardia,alto risco
Accelerated idioventricular rhythm,alto risco
Probable supraventricular tachycardia.,alto risco
Accelerated idioventricular rhythm.,alto risco
Probable ventricular tachycardia.,alto risco
Probable supraventricular tachycardia,alto risco
Atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia.,alto risco
Supraventricular tachycardia,alto risco
Atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia,alto risco
Atrial fibrillation with uncontrolled ventricular response with non-sustained ventricular tachycardia,alto risco
Sinus tachycardia with sinus arrhythmia with non-sustained ventricular tachycardia,alto risco
Complete AV block with wide QRS complex,alto risco
Wide complex tachycardia,alto risco
Sinus tachycardia with non-sustained ventricular tachycardia.,alto risco
Sinus tachycardia with sinus arrhythmia with non-sustained ventricular tachycardia.,alto risco
Sinus rhythm with non-sustained ventricular tachycardia.,alto risco
Atrial fibrillation with non-sustained ventricular tachycardia.,alto risco
Atrial fibrillation with non-sustained ventricular tachycardia,alto risco
Probable atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia,alto risco
Atrial fibrillation with uncontrolled ventricular response with non-sustained ventricular tachycardia.,alto risco
A-flutter/fibrillation w/ complete AV block,alto risco
Sinus bradycardia with non-sustained ventricular tachycardia,alto risco
ACCELERATED IDIOVENTRICULAR RHYTHM,alto risco
Atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia.,alto risco
Probable supraventricular tachycardia with PVC(s),alto risco
WIDE COMPLEX TACHYCARDIA - POSSIBLE SUPRAVENTRICULAR TACHYCARDIA,alto risco
Probable sinus tachycardia with non-sustained ventricular tachycardia,alto risco
Possible atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia.,alto risco
Sinus rhythm with non-sustained ventricular tachycardia with PAC(s).,alto risco
PROBABLE SUPRAVENTRICULAR TACHYCARDIA,alto risco
Sinus tachycardia with non-sustained ventricular tachycardia,alto risco
Probable atrial fibrillation with rapid ventricular response with non-sustained ventricular tachycardia.,alto risco
Possible ectopic atrial tachycardia with non-sustained ventricular tachycardia.,alto risco
Probable atrial fibrillation with non-sustained ventricular tachycardia.,alto risco
Sinus rhythm with non-sustained ventricular tachycardia with 1st degree A-V block.,alto risco
Sinus bradycardia with non-sustained ventricular tachycardia with 1st degree A-V block.,alto risco
Atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia,alto risco
Atrial flutter with rapid ventricular response with 2:1 A-V block with non-sustained ventricular tachycardia.,alto risco
WIDE COMPLEX TACHYCARDIA - POSSIBLE VENTRICULAR TACHYCARDIA,alto risco
Sinus rhythm with non-sustained ventricular tachycardia with borderline 1st degree A-V block,alto risco
Sinus arrhythmia with non-sustained ventricular tachycardia,alto risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia with PAC(s).,alto risco
Possible atrial flutter with rapid ventricular response with non-sustained ventricular tachycardia,alto risco
Sinus tachycardia with non-sustained ventricular tachycardia with borderline 1st degree A-V block,alto risco
Sinus arrhythmia with non-sustained ventricular tachycardia.,alto risco
Sinus rhythm with non-sustained ventricular tachycardia,alto risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia,alto risco
Sinus tachycardia with non-sustained ventricular tachycardia with PACs,alto risco
"PROBABLE SUPRAVENTRICULAR TACHYCARDIA, BUT CONSIDER SINUS OR PAROXYSMAL ATRIAL TACHYCARDIA",alto risco
Probable atrial fibrillation with non-sustained ventricular tachycardia,alto risco
Atrial flutter with uncontrolled ventricular response with non-sustained ventricular tachycardia.,alto risco
Sinus tachycardia with non-sustained ventricular tachycardia with PAC(s),alto risco
Atrial flutter with uncontrolled ventricular response with 2:1 A-V block with non-sustained ventricular tachycardia.,alto risco
Sinus arrhythmia are borderline abnormal for age/sex,baixo risco
Probable sinus tachycardia with non-sustained ventricular tachycardia.,alto risco
Probable supraventricular tachycardia with PVCs.,alto risco
Probable supraventricular tachycardia with PVCs,alto risco
Atrial flutter with uncontrolled ventricular response with non-sustained ventricular tachycardia,alto risco
Sinus rhythm with non-sustained ventricular tachycardia with 1st degree A-V block,alto risco
Sinus tachycardia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia with PACs.,alto risco
Sinus tachycardia with sinus arrhythmia with aberrantly conducted supraventricular complexes with non-sustained ventricular tachycardia,alto risco
Sinus rhythm with non-sustained ventricular tachycardia with borderline 1st degree A-V block.,alto risco
rSr'(V1) - probable normal variant,baixo risco
Possible anterior infarct - age undetermined,alto risco
Poor R wave progression - probable normal variant,baixo risco
Possible anteroseptal infarct - age undetermined,alto risco
Anteroseptal infarct - age undetermined,alto risco
"Inferior infarct, age indeterminate",alto risco
Inferior infarct - age undetermined,alto risco
WITHIN NORMAL LIMITS,baixo risco
Old inferior infarct,alto risco
Possible septal infarct - age undetermined,alto risco
- supraventricular extrasystoles,alto risco
Possible inferior infarct - age undetermined,alto risco
Cannot rule out anterior infarct - age undetermined,alto risco
Inferior T wave changes may be normal for age,baixo risco
Probable lateral infarct - age undetermined,alto risco
Possible lateral infarct - age undetermined,alto risco
Inferior and ant/septal ST elevation - possible early repolarization,alto risco
Inferior ST elevation - possible early repolarization,alto risco
Cannot rule out anteroseptal infarct - age undetermined,alto risco
"Inferior infarct, old",alto risco
Inferior ST elevation suggests early repolarization,alto risco
"Anterior infarct, old",alto risco
"Borderline ST elevation, anterolateral leads",alto risco
Probable old septal infarct,alto risco
"Borderline ST elevation, anterior leads",alto risco
"Lateral infarct, acute",alto risco
"ST elevation, consider inferior injury",alto risco
Inferior ST elevation - cannot rule out myocardial injury,alto risco
POSSIBLE SEPTAL INFARCTION - AGE UNDETERMINED,alto risco
"Probable anterior infarct, age indeterminate",alto risco
Inferior and lateral ST elevation - possible early repolarization,alto risco
ST elevation suggests acute pericarditis,alto risco
Lateral ST elevation - possible early repolarization,alto risco
Cannot rule out septal infarct - age undetermined,alto risco
Extensive ST elevation suggests pericarditis,alto risco
"Anterolateral infarct, age indeterminate",alto risco
Ventricular preexcitation(WPW),alto risco
Anteroseptal T wave changes suggest myocardial infarct,alto risco
Anterior infarct - age undetermined,alto risco
"Anteroseptal infarct, old",alto risco
"Anteroseptal infarct, age indeterminate",alto risco
"Probable anteroseptal infarct, old",alto risco
"Extensive ST elevation, consider pericarditis",alto risco
Septal ST elevation - cannot rule out myocardial injury,alto risco
QRS changes V3/V4 may be due to LVH but cannot rule out anterior infarct,alto risco
Inferior ST-T changes may be normal for age,baixo risco
Anteroseptal ST elevation - possible early repolarization,alto risco
Probable old anteroseptal infarct,alto risco
Inferior/lateral T wave changes may be normal for age,baixo risco
*** ANTEROSEPTAL INFARCT - POSSIBLY ACUTE ***,alto risco
"Ventricular tachycardia, unsustained",alto risco
- non-sustained ventricular tachycardia,alto risco
Anteroseptal ST elevation - cannot rule out myocardial injury,alto risco
Abnormal Q suggests anterior infarct,alto risco
SUPRAVENTRICULAR EXTRASYSTOLES,alto risco
INFERIOR INFARCTION - AGE UNDETERMINED,alto risco
- aberrantly conducted supraventricular extrasystoles,alto risco
Inferior and lateral ST elevation suggests early repolarization,alto risco
Inferior and lateral ST elevation,alto risco
Lateral ST elevation suggests early repolarization,alto risco
Possible old anterior infarct,alto risco
Anterior ST elevation - repeat if myocardial injury is suspected,alto risco
Septal T wave changes are normal for age,baixo risco
Anterolateral infarct - age undetermined,alto risco
Lateral infarct - age undetermined,alto risco
Tall T waves - consider acute ischemia or hyperkalemia,alto risco
*** ANTERIOR INFARCT - POSSIBLY ACUTE ***,alto risco
Inferior and ant/septal T wave changes may be due to myocardial infarct or CVA,alto risco
Consider anterior infarct,alto risco
POSSIBLE ACUTE INFERIOR INFARCT,alto risco
Inferior infarct - probably acute,alto risco
"Anterior infarct, acute",alto risco
POSSIBLE OLD ANTERIOR INFARCTION,alto risco
"Anterior ST elevation, consider recent infarction",alto risco
QRS changes in V2 may be due to LVH but cannot rule out septal infarct,alto risco
"Probable inferior infarct, age indeterminate",alto risco
Probable anteroseptal infarct - age undetermined,alto risco
Anterolateral ST elevation suggests early repolarization,alto risco
Anterolateral ST elevation - possible early repolarization,alto risco
Possible old lateral infarct,alto risco
Extensive ST elevation - consider pericarditis,alto risco
Probable old lateral infarct,alto risco
"ST elevation, consider anterior injury",alto risco
POSSIBLE OLD INFERIOR INFARCTION,alto risco
