frase,arquivo,superclasse,risco,trigger_score
"Um estudo controlado com placebo, com administração de 100 mg de ACTILYSE por 3 horas, demonstrou uma taxa menor de mortalidade após 30 dias em comparação com placebo em pacientes tratados dentro de 6-12 horas após o início dos sintomas.",bula_profissional_alteplase_filtrado.txt,MI,alto,2
"Nos casos em que há presença de sinais de infarto do miocárdio, um tratamento iniciado em até 24 horas após o início dos sintomas ainda pode ser benéfico.",bula_profissional_alteplase_filtrado.txt,MI,alto,1
"CARACTERÍSTICAS FARMACOLÓGICAS Farmacodinâmica A substância ativa de ACTILYSE é o alteplase, um ativador de plasminogênio tecidual humano recombinante, uma glicoproteína que ativa o plasminogênio diretamente para plasmina.",bula_profissional_alteplase_filtrado.txt,MI,alto,2
"• hepatopatias graves, incluindo insuficiência hepática, cirrose, hipertensão portal (varizes esofágicas) e hepatite ativa;",bula_profissional_alteplase_filtrado.txt,MI,alto,0
"Nos casos de acidente vascular cerebral isquêmico agudo, é contraindicado: • aparecimento dos sintomas da isquemia há mais de três horas antes do início da infusão ou momento do aparecimento dos sintomas desconhecido;",bula_profissional_alteplase_filtrado.txt,MI,alto,2
"• sintomas do acidente vascular cerebral isquêmico agudo que estejam melhorando rapidamente ou que sejam apenas leves, antes do início da infusão;",bula_profissional_alteplase_filtrado.txt,MI,alto,2
"Recomenda-se monitorização principalmente de pacientes que estejam recebendo concomitantemente inibidores da enzima conversora de angiotensina (ECA, vide Reações Adversas).",bula_profissional_alteplase_filtrado.txt,MI,alto,0
"O tratamento não deve ser iniciado depois de 3 horas após o início dos sintomas devido à relação risco/benefício desfavorável, baseado nos seguintes dados: • os resultados positivos do tratamento diminuem com o passar do tempo;",bula_profissional_alteplase_filtrado.txt,MI,alto,1
A reperfusão da área isquêmica pode induzir edema cerebral na zona do infarto.,bula_profissional_alteplase_filtrado.txt,MI,alto,1
"Devido ao risco aumentado de hemorragia, tratamento com inibidores de agregação plaquetária não deve ser iniciado nas primeiras 24 horas após trombólise com alteplase.",bula_profissional_alteplase_filtrado.txt,MI,alto,3
"Tratamento concomitante com inibidores da ECA pode aumentar o risco de ocorrência de reação anafilática, pois nos casos em que ocorreram tais reações um número proporcionalmente alto de pacientes estava recebendo inibidores da ECA ao mesmo tempo.",bula_profissional_alteplase_filtrado.txt,MI,alto,1
"Posologia Deve-se administrar ACTILYSE, logo que possível, após o início dos sintomas.",bula_profissional_alteplase_filtrado.txt,MI,alto,1
"Tratamento de infarto agudo do miocárdio (IAM) a) Regime de administração acelerada durante 90 minutos para pacientes que sofreram infarto do miocárdio, nos quais o tratamento possa ser iniciado dentro de 6 horas após o início dos sintomas: • Pacientes com peso corpóreo maior ou igual a 65 kg: administrar uma dose de 15 mg como bolo intravenoso, seguida de dose de 50 mg em infusão intravenosa durante os primeiros 30 minutos, seguida de infusão intravenosa de 35 mg durante os 60 minutos seguintes, até a dose máxima de 100 mg.",bula_profissional_alteplase_filtrado.txt,MI,alto,4
b) Regime de administração durante 3 horas para pacientes nos quais o tratamento possa ser iniciado entre 6 e 12 horas após o início dos sintomas: deve-se administrar uma dose de 10 mg em bolo intravenoso.,bula_profissional_alteplase_filtrado.txt,MI,alto,3
"A infusão deve ser ajustada para manter a TTPa entre 50-70 segundos (1,5 a 2,5 vezes do valor de referência).",bula_profissional_alteplase_filtrado.txt,MI,alto,0
O tratamento deve ser iniciado o mais precocemente possível em até 3 horas após o início dos sintomas.,bula_profissional_alteplase_filtrado.txt,MI,alto,1
Terapêutica adjunta no AVC isquêmico agudo: a segurança e a eficácia deste regime com administração concomitante de heparina e ácido acetilsalicílico durante as primeiras 24 horas após o início dos sintomas ainda não foram suficientemente investigadas.,bula_profissional_alteplase_filtrado.txt,MI,alto,1
"Sintomas neurológicos hemorrágicos intracranianos como sonolência, afasia, hemiparesia e convulsão podem estar associados.",bula_profissional_alteplase_filtrado.txt,MI,alto,1
Náuseas e vômitos também podem ocorrer como sintomas do infarto do miocárdio.,bula_profissional_alteplase_filtrado.txt,MI,alto,0
"• Reações incomuns (>1/1000 e <1/100): hemorragia do trato respiratório, como hemorragia faríngea, hemoptise, epistaxis;",bula_profissional_alteplase_filtrado.txt,MI,alto,2
"Especificamente no tratamento do infarto agudo do miocárdio: arritmias de reperfusão, como arritmia, extrassístole, fibrilação atrial, bloqueio atrioventricular de primeiro grau a total, bradicardia, taquicardia, arritmia ventricular, fibrilação ventricular, taquicardia ventricular (ocorre em relação temporal próxima ao tratamento com ACTILYSE).",bula_profissional_alteplase_filtrado.txt,MI,alto,2
"• Reações raras (>1/10.000 e <1.000): reações anafilactoides (que geralmente são leves, mas podem causar risco de vida em casos isolados), podem aparecer como rash, urticária, broncoespasmo, edema angioneurótico, hipotensão, choque ou qualquer outro sintoma associado à hipersensibilidade;",bula_profissional_alteplase_filtrado.txt,MI,alto,0
uma parcela relativamente grande desses pacientes estava recebendo concomitantemente inibidores da ECA;,bula_profissional_alteplase_filtrado.txt,MI,alto,0
"INFARTO AGUDO DO MIOCÁRDIO ADMINISTRAÇÃO ACELERADA (até 6 horas após o início dos sintomas) Em pacientes com peso corpóreo ≥65 kg DOSE TOTAL: 100 mg em 90 min ACTILYSE PROFISSIONAL abcd ACTILYSE_Bula Profissional 20120904/ I13-00 9 1-2 minutos 15 mg Retirar 15 ml (15 mg) da solução de ACTILYSE do primeiro frasco de 50 mg, utilizando seringa estéril.",bula_profissional_alteplase_filtrado.txt,MI,alto,4
"INFARTO AGUDO DO MIOCÁRDIO ADMINISTRAÇÃO ACELERADA (até 6 horas após o início dos sintomas) Em pacientes com peso corpóreo <65 kg DOSE TOTAL: 15 mg + 0,75 mg/kg + 0,50 mg/kg (até 100 mg em 90 min) 1-2 minutos 15 mg Retirar 15 ml (15 mg) da solução de ACTILYSE, utilizando seringa estéril.",bula_profissional_alteplase_filtrado.txt,MI,alto,3
"INFARTO AGUDO DO MIOCÁRDIO ADMINISTRAÇÃO CONVENCIONAL (entre 6 e 12 horas após o início dos sintomas) 100 mg durante 3 horas 1-2 minutos 10 mg ACTILYSE PROFISSIONAL abcd ACTILYSE_Bula Profissional 20120904/ I13-00 10 Retirar 10 ml (10 mg) da solução de ACTILYSE do primeiro frasco de 50 mg, utilizando seringa estéril.",bula_profissional_alteplase_filtrado.txt,MI,alto,3
Comprimidos revestidos 100 mg e 200 mg ANCO_V.21-22 1 ANCORON® cloridrato de amiodarona MEDICAMENTO SIMILAR EQUIVALENTE AO MEDICAMENTO DE REFERÊNCIA APRESENTAÇÕES Ancoron® 100 mg: embalagem contendo 30 ou 60 comprimidos revestidos.,bula_profissional_amiodarona_filtrado.txt,CD,alto,3
"Devido às propriedades farmacológicas da amiodarona, Ancoron® está particularmente indicado quando esses distúrbios do ritmo forem capazes de agravar uma patologia clínica subjacente (insuficiência coronariana, insuficiência cardíaca).",bula_profissional_amiodarona_filtrado.txt,CD,alto,3
